part_id,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q2.4,Q3.1,Q3.2,Q4.1,Q4.2,Q4.3,Q4.4,Q5.1,Q5.2,Q5.3,Q5.4,Q6.1,Q6.2,Q7.1,Q7.2,Q7.3,Q8.1,Q8.2,Q8.3,Q9.1,Q9.2,Q10.1,Q10.2,Q10.3,Q12.1,Q12.2_1,Q12.3_1,Q12.4_1,Q12.5_1,Q12.6,Q12.7_1,Q12.8_1,Q12.9_1,Q12.10_1,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q14.1_1,Q14.2,Q14.2_TEXT,Q14.3_1,Q14.4,Q14.4_TEXT,Q14.5,Q14.5_TEXT,Q14.6,Q14.7,gender,race,ethnic,educ,daily_meds_n,age,t_duration_min,batch_id,sns1,sns2,sns3,sns4,sns5,sns6,sns7,sns8,sns_total,sns_ability,sns_preference,snumi1,snumi2,snumi3,snumi4,snumi5,snumi6,snumi7,snumi8,snumi_total,ind_sens_verb,ind_sens_gist,ind_spec_verb,ind_spec_gist,ind_conf_verb,ind_conf_gist,emb_sens,emb_spec,emb_conf,ind_sens_all,ind_spec_all,ind_conf_all,all_sens_mean,all_spec_mean,all_conf_mean,total_score_mean,ind_score_mean,emb_score_mean,snumi_cat,total_score_raw
R_T7WCcokvASvITh7,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,2,3,6,5,1,3,6,1,6,1,6,4,7,4,5,6,7,13,43,2,,0,1,,2,,3,4,female,white,non-hispanic,highschool,0,43,13.76666667,2,2,3,6,5,3,6,6,6,4.625,4,5.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_1IgfvFACE0WIhdF,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,4,4,6,6,1,5,1,6,5,1,6,4,7,4,5,5,7,13,18,2,,0,2,,3,black,3,1,female,black/aa,other,highschool,0,18,25.26666667,2,4,4,6,6,5,1,1,5,4,5,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_3M4EolP8itDYsCP,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,3,3,1,1,2,1,1,2,3,3,1,1,2,1,3,5,5,5,1,5,5,1,4,1,6,4,7,4,6,5,4,13,26,2,,1,2,,2,,5,1,female,black/aa,non-hispanic,associates,1,26,8.583333333,2,3,5,5,5,5,5,6,4,4.75,4.5,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,0.5,1,1,0.333333333,0.777777778,0.833333333,0.666666667,average (4-6),7
R_1d3O1ygrzR1myuo,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,5,5,6,6,1,6,5,2,6,1,6,4,7,4,5,6,4,13,39,2,,0,1,,2,,6,2,female,white,non-hispanic,bachelors,0,39,6.433333333,2,5,5,6,6,6,5,5,6,5.5,5.5,5.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_SNyogCib2hmcBod,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,4,4,5,5,1,5,5,1,5,1,6,4,7,4,5,6,7,13,44,2,,1,1,,2,,3,2,female,white,non-hispanic,highschool,1,44,12.18333333,2,4,4,5,5,5,5,6,5,4.875,4.5,5.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_242HRaZ7MsaLOzD,1,1,1,1,1,1,3,3,1,1,2,1,1,1,3,2,3,3,1,1,1,1,1,2,3,3,1,1,1,1,3,3,2,4,1,5,3,5,4,1,6,4,7,4,5,6,7,13,35,1,,1,1,,2,,3,2,male,white,non-hispanic,highschool,1,35,5.716666667,2,3,3,2,4,5,3,2,4,3.25,3,3.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,0,0.666666667,1,0.333333333,0.666666667,0.666666667,0.666666667,high (7-8),6
R_06XaI1uV1qkIFCp,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,1,1,1,1,1,5,4,1,4,1,6,4,7,4,5,6,5,13,30,1,,0,1,,2,,3,1,male,white,non-hispanic,highschool,0,30,12.55,2,1,1,1,1,5,4,6,4,2.875,1,4.75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_3qC31U0LXqr7Mfz,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,2,3,3,1,1,2,1,1,2,3,3,1,1,1,1,1,3,2,5,1,6,1,1,4,1,6,4,7,4,5,6,7,13,23,2,,0,1,,1,,3,1,female,white,hispanic,highschool,0,23,14.61666667,2,1,3,2,5,6,1,6,4,3.5,2.75,4.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0.5,1,1,0.666666667,0.888888889,0.833333333,1,high (7-8),8
R_3hcFzh4nQLK6v1Z,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,3,3,1,1,2,1,1,2,3,3,1,1,1,1,6,6,6,6,1,6,6,1,6,1,6,4,7,4,5,6,7,13,29,1,,0,1,,2,,7,2,male,white,non-hispanic,masters,0,29,25.45,2,6,6,6,6,6,6,6,6,6,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,high (7-8),9
R_1mJYEWKYhtnweUk,1,1,1,1,2,2,3,3,1,1,3,2,1,1,3,3,3,3,1,1,2,1,1,1,3,3,1,1,3,1,5,4,5,4,1,5,3,4,3,1,7,6,5,3,6,5,6,13,30,1,,0,1,,2,,6,1,male,white,non-hispanic,bachelors,0,30,27.18333333,2,5,4,5,4,5,3,3,3,4,4.5,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0.333333333,0,0,0.111111111,0,0.333333333,low (0-3),1
